,Constraint Name,Constraint equation,Sense,RHS
0,"normalized_load_('corecontrast@POST@/multicore#us-east-1#start', 'corecontrast@POST@/multicore#us-east-1#end')","-1.0 load_for_compute_edge[('corecontrast@POST@/multicore#us_east_1#start',_'corecontrast@POST@/multicore#us_east_1#end')] + -4.0 load_for_compute_edge[('corecontrast@POST@/singlecore#us_east_1#start',_'corecontrast@POST@/singlecore#us_east_1#end')] + normalized_load_for_compute_edge[('corecontrast@POST@/multicore#us_east_1#start',_'corecontrast@POST@/multicore#us_east_1#end')]",=,0.0
1,"normalized_load_('corecontrast@POST@/singlecore#us-east-1#start', 'corecontrast@POST@/singlecore#us-east-1#end')","-0.25 load_for_compute_edge[('corecontrast@POST@/multicore#us_east_1#start',_'corecontrast@POST@/multicore#us_east_1#end')] + -1.0 load_for_compute_edge[('corecontrast@POST@/singlecore#us_east_1#start',_'corecontrast@POST@/singlecore#us_east_1#end')] + normalized_load_for_compute_edge[('corecontrast@POST@/singlecore#us_east_1#start',_'corecontrast@POST@/singlecore#us_east_1#end')]",=,0.0
2,"normalized_load_('sslateingress@POST@/singlecore#us-east-1#start', 'sslateingress@POST@/singlecore#us-east-1#end')","-1.0 load_for_compute_edge[('sslateingress@POST@/singlecore#us_east_1#start',_'sslateingress@POST@/singlecore#us_east_1#end')] + -1.0 load_for_compute_edge[('sslateingress@POST@/multicore#us_east_1#start',_'sslateingress@POST@/multicore#us_east_1#end')] + normalized_load_for_compute_edge[('sslateingress@POST@/singlecore#us_east_1#start',_'sslateingress@POST@/singlecore#us_east_1#end')]",=,0.0
3,"normalized_load_('sslateingress@POST@/multicore#us-east-1#start', 'sslateingress@POST@/multicore#us-east-1#end')","-1.0 load_for_compute_edge[('sslateingress@POST@/singlecore#us_east_1#start',_'sslateingress@POST@/singlecore#us_east_1#end')] + -1.0 load_for_compute_edge[('sslateingress@POST@/multicore#us_east_1#start',_'sslateingress@POST@/multicore#us_east_1#end')] + normalized_load_for_compute_edge[('sslateingress@POST@/multicore#us_east_1#start',_'sslateingress@POST@/multicore#us_east_1#end')]",=,0.0
4,"normalized_load_('corecontrast@POST@/multicore#us-west-1#start', 'corecontrast@POST@/multicore#us-west-1#end')","-1.0 load_for_compute_edge[('corecontrast@POST@/multicore#us_west_1#start',_'corecontrast@POST@/multicore#us_west_1#end')] + -4.0 load_for_compute_edge[('corecontrast@POST@/singlecore#us_west_1#start',_'corecontrast@POST@/singlecore#us_west_1#end')] + normalized_load_for_compute_edge[('corecontrast@POST@/multicore#us_west_1#start',_'corecontrast@POST@/multicore#us_west_1#end')]",=,0.0
5,"normalized_load_('corecontrast@POST@/singlecore#us-west-1#start', 'corecontrast@POST@/singlecore#us-west-1#end')","-0.25 load_for_compute_edge[('corecontrast@POST@/multicore#us_west_1#start',_'corecontrast@POST@/multicore#us_west_1#end')] + -1.0 load_for_compute_edge[('corecontrast@POST@/singlecore#us_west_1#start',_'corecontrast@POST@/singlecore#us_west_1#end')] + normalized_load_for_compute_edge[('corecontrast@POST@/singlecore#us_west_1#start',_'corecontrast@POST@/singlecore#us_west_1#end')]",=,0.0
6,"normalized_load_('sslateingress@POST@/singlecore#us-west-1#start', 'sslateingress@POST@/singlecore#us-west-1#end')","-1.0 load_for_compute_edge[('sslateingress@POST@/singlecore#us_west_1#start',_'sslateingress@POST@/singlecore#us_west_1#end')] + -1.0 load_for_compute_edge[('sslateingress@POST@/multicore#us_west_1#start',_'sslateingress@POST@/multicore#us_west_1#end')] + normalized_load_for_compute_edge[('sslateingress@POST@/singlecore#us_west_1#start',_'sslateingress@POST@/singlecore#us_west_1#end')]",=,0.0
7,"normalized_load_('sslateingress@POST@/multicore#us-west-1#start', 'sslateingress@POST@/multicore#us-west-1#end')","-1.0 load_for_compute_edge[('sslateingress@POST@/singlecore#us_west_1#start',_'sslateingress@POST@/singlecore#us_west_1#end')] + -1.0 load_for_compute_edge[('sslateingress@POST@/multicore#us_west_1#start',_'sslateingress@POST@/multicore#us_west_1#end')] + normalized_load_for_compute_edge[('sslateingress@POST@/multicore#us_west_1#start',_'sslateingress@POST@/multicore#us_west_1#end')]",=,0.0
8,cluster_us-east-1_load_in_sslateingress@POST@/singlecore,"load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_east_1#start')]",=,25.0
9,cluster_us-west-1_load_in_sslateingress@POST@/singlecore,"load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_west_1#start')]",=,600.0
