index_col,src_svc,dst_svc,src_endpoint,dst_endpoint,src_cid,dst_cid,flow,total,weight
"('sslateingress@POST@/singlecore', 'us-west-1', 'corecontrast@POST@/singlecore')",sslateingress,corecontrast,sslateingress@POST@/singlecore,corecontrast@POST@/singlecore,us-west-1,us-west-1,52,101,0.5148514851485149
"('sslateingress@POST@/singlecore', 'us-west-1', 'corecontrast@POST@/singlecore')",sslateingress,corecontrast,sslateingress@POST@/singlecore,corecontrast@POST@/singlecore,us-west-1,us-central-1,49,101,0.48514851485148514
"('sslateingress@POST@/singlecore', 'us-central-1', 'corecontrast@POST@/singlecore')",sslateingress,corecontrast,sslateingress@POST@/singlecore,corecontrast@POST@/singlecore,us-central-1,us-central-1,2,2,1.0
"('sslateingress@POST@/singlecore', 'us-south-1', 'corecontrast@POST@/singlecore')",sslateingress,corecontrast,sslateingress@POST@/singlecore,corecontrast@POST@/singlecore,us-south-1,us-south-1,52,101,0.5148514851485149
"('sslateingress@POST@/singlecore', 'us-south-1', 'corecontrast@POST@/singlecore')",sslateingress,corecontrast,sslateingress@POST@/singlecore,corecontrast@POST@/singlecore,us-south-1,us-east-1,49,101,0.48514851485148514
"('sslateingress@POST@/singlecore', 'us-east-1', 'corecontrast@POST@/singlecore')",sslateingress,corecontrast,sslateingress@POST@/singlecore,corecontrast@POST@/singlecore,us-east-1,us-east-1,1,1,1.0
"('sslateingress@POST@/multicore', 'us-west-1', 'corecontrast@POST@/multicore')",sslateingress,corecontrast,sslateingress@POST@/multicore,corecontrast@POST@/multicore,us-west-1,us-west-1,153,502,0.3047808764940239
"('sslateingress@POST@/multicore', 'us-west-1', 'corecontrast@POST@/multicore')",sslateingress,corecontrast,sslateingress@POST@/multicore,corecontrast@POST@/multicore,us-west-1,us-central-1,130,502,0.2589641434262948
"('sslateingress@POST@/multicore', 'us-west-1', 'corecontrast@POST@/multicore')",sslateingress,corecontrast,sslateingress@POST@/multicore,corecontrast@POST@/multicore,us-west-1,us-south-1,122,502,0.24302788844621515
"('sslateingress@POST@/multicore', 'us-west-1', 'corecontrast@POST@/multicore')",sslateingress,corecontrast,sslateingress@POST@/multicore,corecontrast@POST@/multicore,us-west-1,us-east-1,97,502,0.19322709163346613
"('SOURCE', 'XXXX', 'sslateingress@POST@/singlecore')",SOURCE,sslateingress,SOURCE,sslateingress@POST@/singlecore,XXXX,us-west-1,100,203,0.49261083743842365
"('SOURCE', 'XXXX', 'sslateingress@POST@/singlecore')",SOURCE,sslateingress,SOURCE,sslateingress@POST@/singlecore,XXXX,us-central-1,2,203,0.009852216748768473
"('SOURCE', 'XXXX', 'sslateingress@POST@/singlecore')",SOURCE,sslateingress,SOURCE,sslateingress@POST@/singlecore,XXXX,us-south-1,100,203,0.49261083743842365
"('SOURCE', 'XXXX', 'sslateingress@POST@/singlecore')",SOURCE,sslateingress,SOURCE,sslateingress@POST@/singlecore,XXXX,us-east-1,1,203,0.0049261083743842365
"('SOURCE', 'XXXX', 'sslateingress@POST@/multicore')",SOURCE,sslateingress,SOURCE,sslateingress@POST@/multicore,XXXX,us-west-1,500,500,1.0
