,From,To,Flow
0,sslateingress@POST@/singlecore#us-east-1#end,corecontrast@POST@/singlecore#us-east-1#start,24.99999999998746
1,sslateingress@POST@/singlecore#us-west-1#end,corecontrast@POST@/singlecore#us-east-1#start,238.13831791111681
2,sslateingress@POST@/singlecore#us-west-1#end,corecontrast@POST@/singlecore#us-west-1#start,361.8616820888832
3,sslateingress@POST@/multicore#us-east-1#end,corecontrast@POST@/multicore#us-east-1#start,699.9999999999799
4,sslateingress@POST@/multicore#us-west-1#end,corecontrast@POST@/multicore#us-west-1#start,399.9999999999666
5,SOURCE#XXXX#end,sslateingress@POST@/singlecore#us-east-1#start,25.0
6,SOURCE#XXXX#end,sslateingress@POST@/singlecore#us-west-1#start,600.0
7,SOURCE#XXXX#end,sslateingress@POST@/multicore#us-east-1#start,700.0
8,SOURCE#XXXX#end,sslateingress@POST@/multicore#us-west-1#start,400.0
9,corecontrast@POST@/multicore#us-east-1#start,corecontrast@POST@/multicore#us-east-1#end,700.0000000000133
10,corecontrast@POST@/singlecore#us-east-1#start,corecontrast@POST@/singlecore#us-east-1#end,263.1383179111043
11,sslateingress@POST@/singlecore#us-east-1#start,sslateingress@POST@/singlecore#us-east-1#end,25.0
12,sslateingress@POST@/multicore#us-east-1#start,sslateingress@POST@/multicore#us-east-1#end,700.0
13,corecontrast@POST@/multicore#us-west-1#start,corecontrast@POST@/multicore#us-west-1#end,399.99999999998676
14,corecontrast@POST@/singlecore#us-west-1#start,corecontrast@POST@/singlecore#us-west-1#end,361.8616820888957
15,sslateingress@POST@/singlecore#us-west-1#start,sslateingress@POST@/singlecore#us-west-1#end,600.0
16,sslateingress@POST@/multicore#us-west-1#start,sslateingress@POST@/multicore#us-west-1#end,400.0
