svc_name, endpoint, coef
frontend,frontend@POST@/cart,{'frontend@POST@/cart': 2.4658518969996776e-06, 'intercept': 0.6910597027495876}
frontend,frontend@POST@/cart/checkout,{'frontend@POST@/cart/checkout': 0.0001568910143587, 'intercept': 1}
cartservice,cartservice@POST@/hipstershop.CartService/AddItem,{'cartservice@POST@/hipstershop.CartService/AddItem': 8.256959202380915e-07, 'intercept': 1.3684737975580945}
cartservice,cartservice@POST@/hipstershop.CartService/GetCart,{'cartservice@POST@/hipstershop.CartService/GetCart': 9.271828613820372e-06, 'intercept': 0.5015571668249245}
productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,{'productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct': 1.5529812085095305e-07, 'intercept': 0.8767966096508572}
productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/ListProducts,{'productcatalogservice@POST@/hipstershop.ProductCatalogService/ListProducts': 7.808965159119802e-07, 'intercept': 3.0929732629765416}
sslateingress,sslateingress@POST@/cart,{'sslateingress@POST@/cart': 1.918970566181258e-06, 'intercept': 1.639923485812918}
sslateingress,sslateingress@POST@/cart/checkout,{'sslateingress@POST@/cart/checkout': 9.32310782093615e-06, 'intercept': 1.622480578628564}
emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,{'emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation': 7.142761466544484e-06, 'intercept': 0.4405435686721614}
checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,{'checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder': 0.0001917842741123, 'intercept': 1}
shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,{'shippingservice@POST@/hipstershop.ShippingService/ShipOrder': 5.441922744952168e-06, 'intercept': 0.3780070701722792}
paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,{'paymentservice@POST@/hipstershop.PaymentService/Charge': 3.730382435152789e-06, 'intercept': 0.8099851884675366}
recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,{'recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations': 4.121635204861682e-05, 'intercept': 1}
currencyservice,currencyservice@POST@/hipstershop.CurrencyService/GetSupportedCurrencies,{'currencyservice@POST@/hipstershop.CurrencyService/GetSupportedCurrencies': 9.744848317075135e-06, 'intercept': 1}
