,src_endpoint,src_cid,dst_endpoint,dst_cid,min_network_time,max_network_time,max_load,min_load,min_egress_cost,max_egress_cost
"('sslateingress@POST@/cart/checkout#us-central-1#end', 'frontend@POST@/cart/checkout#us-central-1#start')",sslateingress@POST@/cart/checkout,us-central-1,frontend@POST@/cart/checkout,us-central-1,0,0,,,0.0,0.0
"('sslateingress@POST@/cart/checkout#us-central-1#end', 'frontend@POST@/cart/checkout#us-east-1#start')",sslateingress@POST@/cart/checkout,us-central-1,frontend@POST@/cart/checkout,us-east-1,40,40,,,2000.0,2000.0
"('sslateingress@POST@/cart/checkout#us-central-1#end', 'frontend@POST@/cart/checkout#us-south-1#start')",sslateingress@POST@/cart/checkout,us-central-1,frontend@POST@/cart/checkout,us-south-1,20,20,,,2000.0,2000.0
"('sslateingress@POST@/cart/checkout#us-central-1#end', 'frontend@POST@/cart/checkout#us-west-1#start')",sslateingress@POST@/cart/checkout,us-central-1,frontend@POST@/cart/checkout,us-west-1,30,30,,,2000.0,2000.0
"('sslateingress@POST@/cart/checkout#us-east-1#end', 'frontend@POST@/cart/checkout#us-central-1#start')",sslateingress@POST@/cart/checkout,us-east-1,frontend@POST@/cart/checkout,us-central-1,40,40,,,2000.0,2000.0
"('sslateingress@POST@/cart/checkout#us-east-1#end', 'frontend@POST@/cart/checkout#us-east-1#start')",sslateingress@POST@/cart/checkout,us-east-1,frontend@POST@/cart/checkout,us-east-1,0,0,,,0.0,0.0
"('sslateingress@POST@/cart/checkout#us-east-1#end', 'frontend@POST@/cart/checkout#us-south-1#start')",sslateingress@POST@/cart/checkout,us-east-1,frontend@POST@/cart/checkout,us-south-1,30,30,,,2000.0,2000.0
"('sslateingress@POST@/cart/checkout#us-east-1#end', 'frontend@POST@/cart/checkout#us-west-1#start')",sslateingress@POST@/cart/checkout,us-east-1,frontend@POST@/cart/checkout,us-west-1,66,66,,,2000.0,2000.0
"('sslateingress@POST@/cart/checkout#us-south-1#end', 'frontend@POST@/cart/checkout#us-central-1#start')",sslateingress@POST@/cart/checkout,us-south-1,frontend@POST@/cart/checkout,us-central-1,20,20,,,2000.0,2000.0
"('sslateingress@POST@/cart/checkout#us-south-1#end', 'frontend@POST@/cart/checkout#us-east-1#start')",sslateingress@POST@/cart/checkout,us-south-1,frontend@POST@/cart/checkout,us-east-1,30,30,,,2000.0,2000.0
