,From,To,Flow
0,A.GET./read#0#end,B.GET./read#0#start,9.999999999909408
1,A.GET./read#1#end,B.GET./read#0#start,42.75000000009544
2,A.GET./read#1#end,B.GET./read#1#start,57.24999999990456
3,A.POST./write#0#end,C.POST./write#0#start,9.999999999909408
4,A.POST./write#1#end,C.POST./write#0#start,42.75000000009544
5,A.POST./write#1#end,C.POST./write#1#start,57.24999999990456
6,SOURCE#-1#end,A.GET./read#0#start,10.0
7,SOURCE#-1#end,A.GET./read#1#start,100.0
8,SOURCE#-1#end,A.POST./write#0#start,10.0
9,SOURCE#-1#end,A.POST./write#1#start,100.0
10,A.GET./read#0#start,A.GET./read#0#end,10.0
11,A.POST./write#0#start,A.POST./write#0#end,10.0
12,B.GET./read#0#start,B.GET./read#0#end,52.750000000004846
13,C.POST./write#0#start,C.POST./write#0#end,52.750000000004846
14,A.GET./read#1#start,A.GET./read#1#end,100.0
15,A.POST./write#1#start,A.POST./write#1#end,100.0
16,B.GET./read#1#start,B.GET./read#1#end,57.249999999995154
17,C.POST./write#1#start,C.POST./write#1#end,57.249999999995154
