,svc_name,my_span_id,parent_span_id,trace_id,cluster_id,load,last_load,avg_load,rps,st,et,rt,xt,ct,child_spans,critical_child_spans,call_size,depth
0,reviews-v3,89954eba,77ebe21d,73e5de126372fd1377ebe21df2d25fe1,0,1,1,1,0,17,24,7,6,6,[<span.Span object at 0x7f2f355aea90>],[<span.Span object at 0x7f2f355aea90>],20,2
1,details-v1,0aa6fc9a,77ebe21d,73e5de126372fd1377ebe21df2d25fe1,0,1,1,1,0,10,12,2,2,2,[],[],20,2
2,ratings-v1,d4969ee1,89954eba,73e5de126372fd1377ebe21df2d25fe1,0,1,1,1,0,21,22,1,1,1,[],[],30,3
3,productpage-v1,77ebe21d,,73e5de126372fd1377ebe21df2d25fe1,0,3,2,2,0,0,27,27,18,18,"[<span.Span object at 0x7f2f355aec70>, <span.Span object at 0x7f2f355aeb80>]","[<span.Span object at 0x7f2f355aec70>, <span.Span object at 0x7f2f355aeb80>]",10,1
4,details-v1,a66ce256,4a89409c,78806dc14139830d4a89409c75c73efb,0,1,1,1,0,8,10,2,2,2,[],[],20,2
5,ratings-v1,dc5c4610,80cd0fe3,78806dc14139830d4a89409c75c73efb,0,1,1,1,0,21,22,1,1,1,[],[],30,3
6,productpage-v1,4a89409c,,78806dc14139830d4a89409c75c73efb,0,3,2,2,0,0,27,27,19,19,"[<span.Span object at 0x7f2f355773d0>, <span.Span object at 0x7f2f35577310>]","[<span.Span object at 0x7f2f35577310>, <span.Span object at 0x7f2f355773d0>]",10,1
7,reviews-v3,80cd0fe3,4a89409c,78806dc14139830d4a89409c75c73efb,0,1,1,1,0,18,24,6,5,5,[<span.Span object at 0x7f2f35577280>],[<span.Span object at 0x7f2f35577280>],20,2
8,reviews-v3,a27272b0,44b4e1ca,3e073a70194a20e344b4e1ca4510c720,0,2,1,1,0,18,25,7,6,6,[<span.Span object at 0x7f2f35552520>],[<span.Span object at 0x7f2f35552520>],20,2
9,details-v1,a7d9f426,44b4e1ca,3e073a70194a20e344b4e1ca4510c720,0,1,1,1,0,8,11,3,3,3,[],[],20,2
10,ratings-v1,c2035928,a27272b0,3e073a70194a20e344b4e1ca4510c720,0,1,1,1,0,22,23,1,1,1,[],[],30,3
11,productpage-v1,44b4e1ca,,3e073a70194a20e344b4e1ca4510c720,0,4,2,3,0,0,31,31,21,21,"[<span.Span object at 0x7f2f35552070>, <span.Span object at 0x7f2f35552430>]","[<span.Span object at 0x7f2f35552070>, <span.Span object at 0x7f2f35552430>]",10,1
12,productpage-v1,a43acb64,,37618285632ae79fa43acb64517321a1,0,4,2,3,0,0,26,26,18,18,"[<span.Span object at 0x7f2f354d9a90>, <span.Span object at 0x7f2f354d9760>]","[<span.Span object at 0x7f2f354d9a90>, <span.Span object at 0x7f2f354d9760>]",10,1
13,reviews-v3,e8fd8252,a43acb64,37618285632ae79fa43acb64517321a1,0,1,1,1,0,13,20,7,5,5,[<span.Span object at 0x7f2f354d9670>],[<span.Span object at 0x7f2f354d9670>],20,2
14,details-v1,790a3209,a43acb64,37618285632ae79fa43acb64517321a1,0,1,1,1,0,7,8,1,1,1,[],[],20,2
15,ratings-v1,8176d5cc,e8fd8252,37618285632ae79fa43acb64517321a1,0,1,1,1,0,16,18,2,2,2,[],[],30,3
16,productpage-v1,66bc1f5d,,97232faa1690512566bc1f5d7747c4b7,0,3,2,2,0,0,34,34,25,25,"[<span.Span object at 0x7f2f354e56a0>, <span.Span object at 0x7f2f354e5610>]","[<span.Span object at 0x7f2f354e56a0>, <span.Span object at 0x7f2f354e5610>]",10,1
17,reviews-v3,37c073ad,66bc1f5d,97232faa1690512566bc1f5d7747c4b7,0,1,1,1,0,22,29,7,5,5,[<span.Span object at 0x7f2f354e5700>],[<span.Span object at 0x7f2f354e5700>],20,2
18,details-v1,c8ee7079,66bc1f5d,97232faa1690512566bc1f5d7747c4b7,0,1,1,1,0,10,12,2,2,2,[],[],20,2
19,ratings-v1,dc19eb41,37c073ad,97232faa1690512566bc1f5d7747c4b7,0,1,1,1,0,26,28,2,2,2,[],[],30,3
20,ratings-v1,411ff6ec,3d1ac20b,385e5c74908a0cf4aa85570bbed0e073,0,1,1,1,0,16,17,1,1,1,[],[],30,3
