,Constraint Name,Constraint equation,Sense,RHS
0,"pipe.lin_reg.linreg[0,0]","compute_latency_A[('reviews_v3#0#start',_'reviews_v3#0#end')] + -0.9999999999999996 load_for_compute_edge_A[('reviews_v3#0#start',_'reviews_v3#0#end')] + -0.9999999999999993 load_for_compute_edge_B[('reviews_v3#0#start',_'reviews_v3#0#end')]",=,2.842170943040401e-14
1,"pipe0.lin_reg.linreg[0,0]","compute_latency_B[('reviews_v3#0#start',_'reviews_v3#0#end')] + -0.9999999999999996 load_for_compute_edge_A[('reviews_v3#0#start',_'reviews_v3#0#end')] + -0.9999999999999993 load_for_compute_edge_B[('reviews_v3#0#start',_'reviews_v3#0#end')]",=,2.842170943040401e-14
2,"pipe1.lin_reg.linreg[0,0]","compute_latency_A[('productpage_v1#0#start',_'productpage_v1#0#end')] + -0.9999999999999996 load_for_compute_edge_A[('productpage_v1#0#start',_'productpage_v1#0#end')] + -0.9999999999999993 load_for_compute_edge_B[('productpage_v1#0#start',_'productpage_v1#0#end')]",=,2.842170943040401e-14
3,"pipe2.lin_reg.linreg[0,0]","compute_latency_B[('productpage_v1#0#start',_'productpage_v1#0#end')] + -0.9999999999999996 load_for_compute_edge_A[('productpage_v1#0#start',_'productpage_v1#0#end')] + -0.9999999999999993 load_for_compute_edge_B[('productpage_v1#0#start',_'productpage_v1#0#end')]",=,2.842170943040401e-14
4,"pipe3.lin_reg.linreg[0,0]","compute_latency_A[('details_v1#0#start',_'details_v1#0#end')] + -0.9999999999999996 load_for_compute_edge_A[('details_v1#0#start',_'details_v1#0#end')] + -0.9999999999999993 load_for_compute_edge_B[('details_v1#0#start',_'details_v1#0#end')]",=,2.842170943040401e-14
5,"pipe4.lin_reg.linreg[0,0]","compute_latency_B[('details_v1#0#start',_'details_v1#0#end')] + -0.9999999999999996 load_for_compute_edge_A[('details_v1#0#start',_'details_v1#0#end')] + -0.9999999999999993 load_for_compute_edge_B[('details_v1#0#start',_'details_v1#0#end')]",=,2.842170943040401e-14
6,"pipe5.lin_reg.linreg[0,0]","compute_latency_A[('ingress_gw#0#start',_'ingress_gw#0#end')]",=,-0.0
7,"pipe6.lin_reg.linreg[0,0]","compute_latency_B[('ingress_gw#0#start',_'ingress_gw#0#end')]",=,-0.0
8,"pipe7.lin_reg.linreg[0,0]","compute_latency_A[('productpage_v1#1#start',_'productpage_v1#1#end')] + -0.9999999999999996 load_for_compute_edge_A[('productpage_v1#1#start',_'productpage_v1#1#end')] + -0.9999999999999993 load_for_compute_edge_B[('productpage_v1#1#start',_'productpage_v1#1#end')]",=,2.842170943040401e-14
9,"pipe8.lin_reg.linreg[0,0]","compute_latency_B[('productpage_v1#1#start',_'productpage_v1#1#end')] + -0.9999999999999996 load_for_compute_edge_A[('productpage_v1#1#start',_'productpage_v1#1#end')] + -0.9999999999999993 load_for_compute_edge_B[('productpage_v1#1#start',_'productpage_v1#1#end')]",=,2.842170943040401e-14
