,Variable Name,LB,UB
0,"compute_latency_A[('reviews_v3#0#start',_'reviews_v3#0#end')]",0.0,inf
1,"compute_latency_A[('productpage_v1#0#start',_'productpage_v1#0#end')]",0.0,inf
2,"compute_latency_A[('details_v1#0#start',_'details_v1#0#end')]",0.0,inf
3,"compute_latency_A[('ingress_gw#0#start',_'ingress_gw#0#end')]",0.0,inf
4,"compute_latency_A[('productpage_v1#1#start',_'productpage_v1#1#end')]",0.0,inf
5,"compute_latency_A[('details_v1#1#start',_'details_v1#1#end')]",0.0,inf
6,"compute_latency_A[('ingress_gw#1#start',_'ingress_gw#1#end')]",0.0,inf
7,"compute_latency_B[('reviews_v3#0#start',_'reviews_v3#0#end')]",0.0,inf
8,"compute_latency_B[('productpage_v1#0#start',_'productpage_v1#0#end')]",0.0,inf
9,"compute_latency_B[('details_v1#0#start',_'details_v1#0#end')]",0.0,inf
10,"compute_latency_B[('ingress_gw#0#start',_'ingress_gw#0#end')]",0.0,inf
11,"compute_latency_B[('productpage_v1#1#start',_'productpage_v1#1#end')]",0.0,inf
12,"compute_latency_B[('details_v1#1#start',_'details_v1#1#end')]",0.0,inf
13,"compute_latency_B[('ingress_gw#1#start',_'ingress_gw#1#end')]",0.0,inf
14,"load_for_compute_edge_A[('reviews_v3#0#start',_'reviews_v3#0#end')]",0.0,inf
15,"load_for_compute_edge_A[('productpage_v1#0#start',_'productpage_v1#0#end')]",0.0,inf
16,"load_for_compute_edge_A[('details_v1#0#start',_'details_v1#0#end')]",0.0,inf
17,"load_for_compute_edge_A[('ingress_gw#0#start',_'ingress_gw#0#end')]",0.0,inf
18,"load_for_compute_edge_A[('productpage_v1#1#start',_'productpage_v1#1#end')]",0.0,inf
19,"load_for_compute_edge_A[('details_v1#1#start',_'details_v1#1#end')]",0.0,inf
20,"load_for_compute_edge_A[('ingress_gw#1#start',_'ingress_gw#1#end')]",0.0,inf
21,"load_for_compute_edge_B[('reviews_v3#0#start',_'reviews_v3#0#end')]",0.0,inf
22,"load_for_compute_edge_B[('productpage_v1#0#start',_'productpage_v1#0#end')]",0.0,inf
23,"load_for_compute_edge_B[('details_v1#0#start',_'details_v1#0#end')]",0.0,inf
24,"load_for_compute_edge_B[('ingress_gw#0#start',_'ingress_gw#0#end')]",0.0,inf
25,"load_for_compute_edge_B[('productpage_v1#1#start',_'productpage_v1#1#end')]",0.0,inf
26,"load_for_compute_edge_B[('details_v1#1#start',_'details_v1#1#end')]",0.0,inf
27,"load_for_compute_edge_B[('ingress_gw#1#start',_'ingress_gw#1#end')]",0.0,inf
28,"network_latency_A[('productpage_v1#0#end',_'reviews_v3#0#start')]",1.0,1.0
29,"network_latency_A[('productpage_v1#0#end',_'details_v1#0#start')]",1.0,1.0
30,"network_latency_A[('ingress_gw#0#end',_'productpage_v1#0#start')]",1.0,1.0
31,"network_latency_A[('productpage_v1#0#end',_'details_v1#1#start')]",10.0,10.0
32,"network_latency_A[('ingress_gw#0#end',_'productpage_v1#1#start')]",10.0,10.0
33,"network_latency_A[('productpage_v1#1#end',_'reviews_v3#0#start')]",10.0,10.0
34,"network_latency_A[('productpage_v1#1#end',_'details_v1#0#start')]",10.0,10.0
35,"network_latency_A[('ingress_gw#1#end',_'productpage_v1#0#start')]",10.0,10.0
36,"network_latency_A[('productpage_v1#1#end',_'details_v1#1#start')]",1.0,1.0
37,"network_latency_A[('ingress_gw#1#end',_'productpage_v1#1#start')]",1.0,1.0
38,"network_latency_A[('SOURCE#_1#_1',_'ingress_gw#0#start')]",0.0,0.0
39,"network_latency_A[('SOURCE#_1#_1',_'ingress_gw#1#start')]",0.0,0.0
40,"network_latency_B[('productpage_v1#0#end',_'reviews_v3#0#start')]",1.0,1.0
41,"network_latency_B[('productpage_v1#0#end',_'details_v1#0#start')]",1.0,1.0
42,"network_latency_B[('ingress_gw#0#end',_'productpage_v1#0#start')]",1.0,1.0
43,"network_latency_B[('productpage_v1#0#end',_'details_v1#1#start')]",10.0,10.0
44,"network_latency_B[('ingress_gw#0#end',_'productpage_v1#1#start')]",10.0,10.0
45,"network_latency_B[('productpage_v1#1#end',_'reviews_v3#0#start')]",10.0,10.0
46,"network_latency_B[('productpage_v1#1#end',_'details_v1#0#start')]",10.0,10.0
47,"network_latency_B[('ingress_gw#1#end',_'productpage_v1#0#start')]",10.0,10.0
48,"network_latency_B[('productpage_v1#1#end',_'details_v1#1#start')]",1.0,1.0
49,"network_latency_B[('ingress_gw#1#end',_'productpage_v1#1#start')]",1.0,1.0
50,"network_latency_B[('SOURCE#_1#_1',_'ingress_gw#0#start')]",0.0,0.0
51,"network_latency_B[('SOURCE#_1#_1',_'ingress_gw#1#start')]",0.0,0.0
52,"load_for_network_edge_A[('productpage_v1#0#end',_'reviews_v3#0#start')]",0.0,inf
53,"load_for_network_edge_A[('productpage_v1#0#end',_'details_v1#0#start')]",0.0,inf
54,"load_for_network_edge_A[('ingress_gw#0#end',_'productpage_v1#0#start')]",0.0,inf
55,"load_for_network_edge_A[('productpage_v1#0#end',_'details_v1#1#start')]",0.0,inf
56,"load_for_network_edge_A[('ingress_gw#0#end',_'productpage_v1#1#start')]",0.0,inf
57,"load_for_network_edge_A[('productpage_v1#1#end',_'reviews_v3#0#start')]",0.0,inf
58,"load_for_network_edge_A[('productpage_v1#1#end',_'details_v1#0#start')]",0.0,inf
59,"load_for_network_edge_A[('ingress_gw#1#end',_'productpage_v1#0#start')]",0.0,inf
60,"load_for_network_edge_A[('productpage_v1#1#end',_'details_v1#1#start')]",0.0,inf
61,"load_for_network_edge_A[('ingress_gw#1#end',_'productpage_v1#1#start')]",0.0,inf
62,"load_for_network_edge_A[('SOURCE#_1#_1',_'ingress_gw#0#start')]",0.0,inf
63,"load_for_network_edge_A[('SOURCE#_1#_1',_'ingress_gw#1#start')]",0.0,inf
64,"load_for_network_edge_B[('productpage_v1#0#end',_'reviews_v3#0#start')]",0.0,inf
65,"load_for_network_edge_B[('productpage_v1#0#end',_'details_v1#0#start')]",0.0,inf
66,"load_for_network_edge_B[('ingress_gw#0#end',_'productpage_v1#0#start')]",0.0,inf
67,"load_for_network_edge_B[('productpage_v1#0#end',_'details_v1#1#start')]",0.0,inf
68,"load_for_network_edge_B[('ingress_gw#0#end',_'productpage_v1#1#start')]",0.0,inf
69,"load_for_network_edge_B[('productpage_v1#1#end',_'reviews_v3#0#start')]",0.0,inf
70,"load_for_network_edge_B[('productpage_v1#1#end',_'details_v1#0#start')]",0.0,inf
71,"load_for_network_edge_B[('ingress_gw#1#end',_'productpage_v1#0#start')]",0.0,inf
72,"load_for_network_edge_B[('productpage_v1#1#end',_'details_v1#1#start')]",0.0,inf
73,"load_for_network_edge_B[('ingress_gw#1#end',_'productpage_v1#1#start')]",0.0,inf
74,"load_for_network_edge_B[('SOURCE#_1#_1',_'ingress_gw#0#start')]",0.0,inf
75,"load_for_network_edge_B[('SOURCE#_1#_1',_'ingress_gw#1#start')]",0.0,inf
76,"network_egress_cost[('productpage_v1#0#end',_'reviews_v3#0#start')]",0.0,0.0
77,"network_egress_cost[('productpage_v1#0#end',_'details_v1#0#start')]",0.0,0.0
78,"network_egress_cost[('ingress_gw#0#end',_'productpage_v1#0#start')]",0.0,0.0
79,"network_egress_cost[('productpage_v1#0#end',_'details_v1#1#start')]",2.0,2.0
80,"network_egress_cost[('ingress_gw#0#end',_'productpage_v1#1#start')]",1.0,1.0
81,"network_egress_cost[('productpage_v1#1#end',_'reviews_v3#0#start')]",2.0,2.0
82,"network_egress_cost[('productpage_v1#1#end',_'details_v1#0#start')]",2.0,2.0
83,"network_egress_cost[('ingress_gw#1#end',_'productpage_v1#0#start')]",1.0,1.0
84,"network_egress_cost[('productpage_v1#1#end',_'details_v1#1#start')]",0.0,0.0
85,"network_egress_cost[('ingress_gw#1#end',_'productpage_v1#1#start')]",0.0,0.0
86,"network_egress_cost[('SOURCE#_1#_1',_'ingress_gw#0#start')]",0.0,0.0
87,"network_egress_cost[('SOURCE#_1#_1',_'ingress_gw#1#start')]",0.0,0.0
88,"network_egress_cost[('productpage_v1#0#end',_'reviews_v3#0#start')]",0.0,0.0
89,"network_egress_cost[('productpage_v1#0#end',_'details_v1#0#start')]",0.0,0.0
90,"network_egress_cost[('ingress_gw#0#end',_'productpage_v1#0#start')]",0.0,0.0
91,"network_egress_cost[('productpage_v1#0#end',_'details_v1#1#start')]",2.0,2.0
92,"network_egress_cost[('ingress_gw#0#end',_'productpage_v1#1#start')]",1.0,1.0
93,"network_egress_cost[('productpage_v1#1#end',_'reviews_v3#0#start')]",2.0,2.0
94,"network_egress_cost[('productpage_v1#1#end',_'details_v1#0#start')]",2.0,2.0
95,"network_egress_cost[('ingress_gw#1#end',_'productpage_v1#0#start')]",1.0,1.0
96,"network_egress_cost[('productpage_v1#1#end',_'details_v1#1#start')]",0.0,0.0
97,"network_egress_cost[('ingress_gw#1#end',_'productpage_v1#1#start')]",0.0,0.0
98,"network_egress_cost[('SOURCE#_1#_1',_'ingress_gw#0#start')]",0.0,0.0
99,"network_egress_cost[('SOURCE#_1#_1',_'ingress_gw#1#start')]",0.0,0.0
