,trace_id,svc_name,cluster_id,my_span_id,parent_span_id,load,last_load,avg_load,st,et,rt,call_size
0,1e523f8ede41942adac2bb5eab0eecef,reviews-v3,0,52891b983b03f9b5,dac2bb5eab0eecef,10,10,10,1697157722258,1697157722271,13,0
1,1e523f8ede41942adac2bb5eab0eecef,ratings-v1,0,4998ecd46441f0c4,52891b983b03f9b5,20,20,20,1697157722266,1697157722269,3,0
2,1e523f8ede41942adac2bb5eab0eecef,details-v1,0,7e763330b20a3ca1,dac2bb5eab0eecef,13,13,13,1697157722234,1697157722237,3,0
3,f94a0aad6c4deb8ac6e52ff6470f8623,productpage-v1,0,c6e52ff6470f8623,,22,22,22,1697157722217,1697157722281,64,0
4,f94a0aad6c4deb8ac6e52ff6470f8623,reviews-v3,0,1f581fbe6f904612,c6e52ff6470f8623,10,10,10,1697157722261,1697157722272,11,0
5,f94a0aad6c4deb8ac6e52ff6470f8623,ratings-v1,0,63e43790c8e283f4,1f581fbe6f904612,20,20,20,1697157722267,1697157722270,3,0
6,f94a0aad6c4deb8ac6e52ff6470f8623,details-v1,0,872525f41c334ace,c6e52ff6470f8623,14,14,14,1697157722242,1697157722243,1,0
7,b1fee6a539ce2b84e6ad7c8e57b8abb6,productpage-v1,0,e6ad7c8e57b8abb6,,22,22,22,1697157722218,1697157722303,85,0
8,b1fee6a539ce2b84e6ad7c8e57b8abb6,reviews-v3,0,1d97ce2bc00e9eee,e6ad7c8e57b8abb6,10,10,10,1697157722289,1697157722294,5,0
9,b1fee6a539ce2b84e6ad7c8e57b8abb6,ratings-v1,0,b8ee92550dcc149c,1d97ce2bc00e9eee,19,19,19,1697157722291,1697157722292,1,0
10,b1fee6a539ce2b84e6ad7c8e57b8abb6,details-v1,0,c8f74bff98ca8048,e6ad7c8e57b8abb6,14,14,14,1697157722253,1697157722254,1,0
11,4510bf774ee78cfb04ef93cce2f16774,productpage-v1,0,04ef93cce2f16774,,22,22,22,1697157722218,1697157722304,86,0
12,4510bf774ee78cfb04ef93cce2f16774,reviews-v3,0,80c2c8e3110ad995,04ef93cce2f16774,10,10,10,1697157722283,1697157722289,6,0
13,4510bf774ee78cfb04ef93cce2f16774,ratings-v1,0,1614f64a88a32195,80c2c8e3110ad995,19,19,19,1697157722286,1697157722287,1,0
14,4510bf774ee78cfb04ef93cce2f16774,details-v1,0,31acbca232270318,04ef93cce2f16774,14,14,14,1697157722261,1697157722263,2,0
15,9e242a6bebb3cfc16a814f0afa825031,productpage-v1,0,6a814f0afa825031,,22,22,22,1697157722283,1697157722365,82,0
16,9e242a6bebb3cfc16a814f0afa825031,reviews-v3,0,cb55e7dbde9c9d4e,6a814f0afa825031,11,11,11,1697157722340,1697157722346,6,0
17,9e242a6bebb3cfc16a814f0afa825031,ratings-v1,0,449f0b974a878b04,cb55e7dbde9c9d4e,19,19,19,1697157722343,1697157722345,2,0
18,9e242a6bebb3cfc16a814f0afa825031,details-v1,0,58911605ff7d0e8f,6a814f0afa825031,14,14,14,1697157722305,1697157722307,2,0
19,9c7f50eb82a574f99721c63e10cf4b86,productpage-v1,0,9721c63e10cf4b86,,23,23,23,1697157722294,1697157722363,69,0
20,9c7f50eb82a574f99721c63e10cf4b86,reviews-v3,0,e985655cc9514383,9721c63e10cf4b86,11,11,11,1697157722339,1697157722345,6,0
21,9c7f50eb82a574f99721c63e10cf4b86,ratings-v1,0,bd755d9b5f08ef0d,e985655cc9514383,19,19,19,1697157722342,1697157722344,2,0
22,9c7f50eb82a574f99721c63e10cf4b86,details-v1,0,fea1564525faf6b8,9721c63e10cf4b86,14,14,14,1697157722313,1697157722315,2,0
23,18bd29c049be571ac4368f19979860b5,productpage-v1,0,c4368f19979860b5,,23,23,23,1697157722296,1697157722375,79,0
24,18bd29c049be571ac4368f19979860b5,reviews-v3,0,cecef2367591369b,c4368f19979860b5,11,11,11,1697157722336,1697157722343,7,0
25,18bd29c049be571ac4368f19979860b5,ratings-v1,0,b660910208581337,cecef2367591369b,19,19,19,1697157722339,1697157722340,1,0
26,18bd29c049be571ac4368f19979860b5,details-v1,0,6786a7c3c766bc80,c4368f19979860b5,14,14,14,1697157722318,1697157722320,2,0
27,8598f7a31995cd55ca78931e872620ce,productpage-v1,0,ca78931e872620ce,,22,22,22,1697157722307,1697157722376,69,0
28,8598f7a31995cd55ca78931e872620ce,reviews-v3,0,807f52837790adbd,ca78931e872620ce,10,10,10,1697157722366,1697157722371,5,0
29,8598f7a31995cd55ca78931e872620ce,ratings-v1,0,7726f82d320e2608,807f52837790adbd,19,19,19,1697157722369,1697157722370,1,0
30,8598f7a31995cd55ca78931e872620ce,details-v1,0,9019eaa279535152,ca78931e872620ce,14,14,14,1697157722339,1697157722344,5,0
31,ef0cd3ddccdf0ea79b2d738667854060,reviews-v3,0,df4a65bd03877b95,9b2d738667854060,10,10,10,1697157722484,1697157722496,12,0
32,ef0cd3ddccdf0ea79b2d738667854060,ratings-v1,0,eb975711028b0432,df4a65bd03877b95,19,19,19,1697157722486,1697157722494,8,0
33,ef0cd3ddccdf0ea79b2d738667854060,details-v1,0,58f61d41ff9dcb32,9b2d738667854060,14,14,14,1697157722457,1697157722460,3,0
34,ef0cd3ddccdf0ea79b2d738667854060,productpage-v1,0,9b2d738667854060,,23,23,23,1697157722423,1697157722507,84,0
35,9e600116d2dab49a9b6e0f24462a50b7,ratings-v1,0,a71ec274d813d534,c2e55b757489c129,19,19,19,1697157722510,1697157722516,6,0
36,9e600116d2dab49a9b6e0f24462a50b7,details-v1,0,00a9643d7f532dd3,9b6e0f24462a50b7,14,14,14,1697157722489,1697157722491,2,0
37,9e600116d2dab49a9b6e0f24462a50b7,productpage-v1,0,9b6e0f24462a50b7,,23,23,23,1697157722465,1697157722534,69,0
38,9e600116d2dab49a9b6e0f24462a50b7,reviews-v3,0,c2e55b757489c129,9b6e0f24462a50b7,10,10,10,1697157722507,1697157722518,11,0
39,ebde3bc4e71e07400f328bc26e5abd79,ratings-v1,0,b1d63842fceced9c,0739f3bb44423917,19,19,19,1697157722551,1697157722553,2,0
40,ebde3bc4e71e07400f328bc26e5abd79,details-v1,0,78284626bd825277,0f328bc26e5abd79,15,15,15,1697157722509,1697157722511,2,0
41,ebde3bc4e71e07400f328bc26e5abd79,productpage-v1,0,0f328bc26e5abd79,,23,23,23,1697157722489,1697157722572,83,0
42,ebde3bc4e71e07400f328bc26e5abd79,reviews-v3,0,0739f3bb44423917,0f328bc26e5abd79,10,10,10,1697157722548,1697157722554,6,0
43,31c918a86d2c9abdcc20bbdb8949ad9f,ratings-v1,0,c1263f76971977cf,4e7ae90f53e49e93,19,19,19,1697157722551,1697157722553,2,0
44,31c918a86d2c9abdcc20bbdb8949ad9f,details-v1,0,0488b5c814e57c0a,cc20bbdb8949ad9f,15,15,15,1697157722532,1697157722534,2,0
45,31c918a86d2c9abdcc20bbdb8949ad9f,productpage-v1,0,cc20bbdb8949ad9f,,23,23,23,1697157722501,1697157722567,66,0
46,31c918a86d2c9abdcc20bbdb8949ad9f,reviews-v3,0,4e7ae90f53e49e93,cc20bbdb8949ad9f,11,11,11,1697157722549,1697157722554,5,0
47,6933714f1922990ff299731c3d69063a,ratings-v1,0,6a725558e59ddeec,ca0099e75b583587,19,19,19,1697157722567,1697157722568,1,0
48,6933714f1922990ff299731c3d69063a,details-v1,0,1a5d8b0b3208f77d,f299731c3d69063a,15,15,15,1697157722549,1697157722550,1,0
49,6933714f1922990ff299731c3d69063a,productpage-v1,0,f299731c3d69063a,,23,23,23,1697157722538,1697157722581,43,0
50,6933714f1922990ff299731c3d69063a,reviews-v3,0,ca0099e75b583587,f299731c3d69063a,10,10,10,1697157722565,1697157722569,4,0
51,ff39510910f07992e6a9cdea66400b8e,ratings-v1,0,81e445c5cb1c82af,d324492b8c898c1c,19,19,19,1697157722571,1697157722571,0,0
52,ff39510910f07992e6a9cdea66400b8e,details-v1,0,98905ba73de0fa3a,e6a9cdea66400b8e,15,15,15,1697157722546,1697157722548,2,0
53,ff39510910f07992e6a9cdea66400b8e,productpage-v1,0,e6a9cdea66400b8e,,23,23,23,1697157722509,1697157722590,81,0
54,ff39510910f07992e6a9cdea66400b8e,reviews-v3,0,d324492b8c898c1c,e6a9cdea66400b8e,10,10,10,1697157722568,1697157722573,5,0
55,ba67b911d75e960c76674e305f18e1d5,ratings-v1,0,84ad0a9eecb26d94,577ad9fb55de6f47,19,19,19,1697157722615,1697157722617,2,0
56,ba67b911d75e960c76674e305f18e1d5,details-v1,0,0f93f3e037cce1fb,76674e305f18e1d5,15,15,15,1697157722591,1697157722593,2,0
57,ba67b911d75e960c76674e305f18e1d5,productpage-v1,0,76674e305f18e1d5,,23,23,23,1697157722574,1697157722632,58,0
58,ba67b911d75e960c76674e305f18e1d5,reviews-v3,0,577ad9fb55de6f47,76674e305f18e1d5,10,10,10,1697157722613,1697157722618,5,0
59,558e6dfa462a4305f1ac02b03a425c8c,ratings-v1,0,752ea6481648ab65,53bf59774b32177f,19,19,19,1697157722620,1697157722621,1,0
60,558e6dfa462a4305f1ac02b03a425c8c,details-v1,0,d5a3bc1157f4e91e,f1ac02b03a425c8c,15,15,15,1697157722577,1697157722579,2,0
61,558e6dfa462a4305f1ac02b03a425c8c,productpage-v1,0,f1ac02b03a425c8c,,22,22,22,1697157722565,1697157722632,67,0
62,558e6dfa462a4305f1ac02b03a425c8c,reviews-v3,0,53bf59774b32177f,f1ac02b03a425c8c,10,10,10,1697157722618,1697157722622,4,0
63,340f949c3fa7be05261943c8581b1a5a,ratings-v1,0,382bb37581624465,713b73739d53814e,19,19,19,1697157722628,1697157722629,1,0
64,340f949c3fa7be05261943c8581b1a5a,details-v1,0,7cefe60c50194cb1,261943c8581b1a5a,16,16,16,1697157722614,1697157722616,2,0
65,340f949c3fa7be05261943c8581b1a5a,productpage-v1,0,261943c8581b1a5a,,23,23,23,1697157722592,1697157722641,49,0
66,340f949c3fa7be05261943c8581b1a5a,reviews-v3,0,713b73739d53814e,261943c8581b1a5a,10,10,10,1697157722626,1697157722631,5,0
67,9b38bd08b0eff50ab8cfb22ab0c92fbd,ratings-v1,0,5338e45e3847685d,f31ac2e4eeabc7e4,19,19,19,1697157722638,1697157722639,1,0
68,9b38bd08b0eff50ab8cfb22ab0c92fbd,details-v1,0,9a09891a72fa7dd5,b8cfb22ab0c92fbd,15,15,15,1697157722614,1697157722618,4,0
69,9b38bd08b0eff50ab8cfb22ab0c92fbd,productpage-v1,0,b8cfb22ab0c92fbd,,22,22,22,1697157722583,1697157722656,73,0
70,9b38bd08b0eff50ab8cfb22ab0c92fbd,reviews-v3,0,f31ac2e4eeabc7e4,b8cfb22ab0c92fbd,10,10,10,1697157722635,1697157722640,5,0
71,72af2d78d658b5c15e1d97e57d7e5e6d,ratings-v1,0,11f9711d65134796,419e2f43b79b362a,19,19,19,1697157722638,1697157722639,1,0
72,72af2d78d658b5c15e1d97e57d7e5e6d,details-v1,0,cb53db5d90124c14,5e1d97e57d7e5e6d,15,15,15,1697157722592,1697157722595,3,0
73,72af2d78d658b5c15e1d97e57d7e5e6d,productpage-v1,0,5e1d97e57d7e5e6d,,23,23,23,1697157722569,1697157722655,86,0
74,72af2d78d658b5c15e1d97e57d7e5e6d,reviews-v3,0,419e2f43b79b362a,5e1d97e57d7e5e6d,10,10,10,1697157722635,1697157722641,6,0
75,87297faeabdedb84948fd99c25dc5336,ratings-v1,0,9170abe5ae75f326,3ffca5f710b1db00,19,19,19,1697157722684,1697157722687,3,0
76,87297faeabdedb84948fd99c25dc5336,details-v1,0,3a36de316742cfe0,948fd99c25dc5336,17,17,17,1697157722655,1697157722658,3,0
77,87297faeabdedb84948fd99c25dc5336,productpage-v1,0,948fd99c25dc5336,,23,23,23,1697157722636,1697157722695,59,0
78,87297faeabdedb84948fd99c25dc5336,reviews-v3,0,3ffca5f710b1db00,948fd99c25dc5336,10,10,10,1697157722682,1697157722688,6,0
79,bd418b3bf2532f173826f9d8a3a81c2a,ratings-v1,0,87c8884956e35b22,7b4e5da74f9130d1,19,19,19,1697157722684,1697157722685,1,0
80,bd418b3bf2532f173826f9d8a3a81c2a,details-v1,0,5bd2255296513a04,3826f9d8a3a81c2a,16,16,16,1697157722654,1697157722661,7,0
81,bd418b3bf2532f173826f9d8a3a81c2a,productpage-v1,0,3826f9d8a3a81c2a,,23,23,23,1697157722642,1697157722692,50,0
82,bd418b3bf2532f173826f9d8a3a81c2a,reviews-v3,0,7b4e5da74f9130d1,3826f9d8a3a81c2a,11,11,11,1697157722682,1697157722687,5,0
83,e60db60ed2f21a467b12d6532a742b44,ratings-v1,0,f2d941d2f1bde907,5ec4026401138695,19,19,19,1697157722697,1697157722699,2,0
84,e60db60ed2f21a467b12d6532a742b44,details-v1,0,e6210b15bb517baa,7b12d6532a742b44,16,16,16,1697157722676,1697157722678,2,0
85,e60db60ed2f21a467b12d6532a742b44,productpage-v1,0,7b12d6532a742b44,,22,22,22,1697157722658,1697157722713,55,0
86,e60db60ed2f21a467b12d6532a742b44,reviews-v3,0,5ec4026401138695,7b12d6532a742b44,10,10,10,1697157722694,1697157722701,7,0
87,1df02a9dc0228d723979109bdd5a95f5,ratings-v1,0,5e3d1930416edc52,51f9c2ad612c14b7,19,19,19,1697157722697,1697157722698,1,0
88,1df02a9dc0228d723979109bdd5a95f5,details-v1,0,d3837cf2a4806fa0,3979109bdd5a95f5,16,16,16,1697157722680,1697157722682,2,0
89,1df02a9dc0228d723979109bdd5a95f5,productpage-v1,0,3979109bdd5a95f5,,23,23,23,1697157722658,1697157722705,47,0
90,1df02a9dc0228d723979109bdd5a95f5,reviews-v3,0,51f9c2ad612c14b7,3979109bdd5a95f5,11,11,11,1697157722694,1697157722699,5,0
91,36b0a9e1e07d3d39ba45daf084cfc913,ratings-v1,0,53b6719c497e52da,5cec3c9c05a53260,19,19,19,1697157722722,1697157722723,1,0
92,36b0a9e1e07d3d39ba45daf084cfc913,details-v1,0,7c6e3cdc72791f2b,ba45daf084cfc913,15,15,15,1697157722654,1697157722700,46,0
93,36b0a9e1e07d3d39ba45daf084cfc913,productpage-v1,0,ba45daf084cfc913,,22,22,22,1697157722634,1697157722737,103,0
94,36b0a9e1e07d3d39ba45daf084cfc913,reviews-v3,0,5cec3c9c05a53260,ba45daf084cfc913,10,10,10,1697157722720,1697157722726,6,0
95,4672c2aa46e76ee909cd954574e50027,ratings-v1,0,57c9129d67ab6cab,242ec9f34c188965,19,19,19,1697157722741,1697157722742,1,0
96,4672c2aa46e76ee909cd954574e50027,details-v1,0,1b831b948023b235,09cd954574e50027,15,15,15,1697157722725,1697157722727,2,0
97,4672c2aa46e76ee909cd954574e50027,productpage-v1,0,09cd954574e50027,,23,23,23,1697157722694,1697157722751,57,0
98,4672c2aa46e76ee909cd954574e50027,reviews-v3,0,242ec9f34c188965,09cd954574e50027,10,10,10,1697157722739,1697157722743,4,0
99,1817f07ab2317d61d531f9ac43cf8d0a,ratings-v1,0,6c35db1764d45b79,bd8c64203195f17b,19,19,19,1697157722755,1697157722755,0,0
100,1817f07ab2317d61d531f9ac43cf8d0a,details-v1,0,58c15c56597dfe47,d531f9ac43cf8d0a,16,16,16,1697157722736,1697157722738,2,0
101,1817f07ab2317d61d531f9ac43cf8d0a,productpage-v1,0,d531f9ac43cf8d0a,,23,23,23,1697157722697,1697157722770,73,0
102,1817f07ab2317d61d531f9ac43cf8d0a,reviews-v3,0,bd8c64203195f17b,d531f9ac43cf8d0a,10,10,10,1697157722753,1697157722757,4,0
103,bf72b3741532e9cd37c07ce0a770b0a4,ratings-v1,0,88dcb712aa62aa58,d337d0540571dee4,19,19,19,1697157722759,1697157722759,0,0
104,bf72b3741532e9cd37c07ce0a770b0a4,details-v1,0,ab16e48eb3c1226c,37c07ce0a770b0a4,16,16,16,1697157722736,1697157722739,3,0
105,bf72b3741532e9cd37c07ce0a770b0a4,productpage-v1,0,37c07ce0a770b0a4,,22,22,22,1697157722706,1697157722771,65,0
106,bf72b3741532e9cd37c07ce0a770b0a4,reviews-v3,0,d337d0540571dee4,37c07ce0a770b0a4,10,10,10,1697157722756,1697157722761,5,0
107,d59c8af2fbe532431643ae27a42444dc,ratings-v1,0,684413bcc0006d36,18e715bd641fc1de,19,19,19,1697157722767,1697157722768,1,0
